日付け,終値,始値,高値,安値,出来高,前日比%
2019年12月18日,"545,469","725,029","812,000","705,282",8.76K,10.10%
2019年12月17日,"555,300","754,500","758,796","719,111",3.54K,-3.96%
2019年12月16日,"548,000","777,016","780,632","749,000",3.06K,-2.87%
2019年12月15日,"562,532","773,304","784,660","767,747",2.50K,0.48%
2019年12月14日,"563,489","792,353","794,837","767,530",1.69K,-2.40%
2019年12月13日,"579,725","786,190","796,440","786,190",2.00K,0.78%
2019年12月12日,"588,520","782,164","792,573","767,910",2.91K,0.51%
2019年12月11日,"576,941","785,869","790,750","775,000",1.90K,-0.47%
2019年12月10日,"591,143","797,959","802,500","779,001",2.81K,-1.52%
2019年12月9日,"564,000","816,707","826,000","791,780",3.52K,-2.30%
2019年12月8日,"569,500","814,301","821,222","802,899",1.77K,0.30%
2019年12月7日,"568,149","818,480","826,320","813,050",2.13K,-0.51%
2019年12月6日,"577,520","803,858","823,007","793,555",4.31K,1.82%
2019年12月5日,"563,693","783,614","814,773","780,000",6.04K,2.48%
2019年12月4日,"582,001","792,786","840,910","770,374",6.25K,-1.06%
2019年12月3日,"584,418","796,925","808,200","789,600",2.74K,-0.52%
2019年12月2日,"591,395","811,428","814,000","786,270",4.48K,-1.79%
2019年12月1日,"591,375","827,000","827,000","793,850",5.54K,-1.93%
2019年11月30日,"595,646","849,890","854,170","818,256",3.75K,-2.65%
2019年11月29日,"594,101","814,000","860,000","813,000",6.68K,4.41%
2019年11月28日,"603,102","822,070","837,372","808,765",6.14K,-1.02%
2019年11月27日,"619,737","781,873","840,337","749,194",9.09K,5.18%
2019年11月26日,"611,480","776,240","798,976","765,308",7.04K,0.73%
2019年11月25日,"579,000","752,853","802,854","711,449",12.81K,3.13%
2019年11月24日,"579,700","796,610","798,580","750,000",5.70K,-5.50%
2019年11月23日,"579,990","791,420","799,646","772,200",4.76K,0.64%
2019年11月22日,"579,000","828,223","836,660","739,590",12.16K,-4.38%
2019年11月21日,"577,863","876,921","880,598","816,500",4.57K,-5.62%
2019年11月20日,"587,393","880,856","889,430","871,151",2.26K,-0.45%
2019年11月19日,"593,000","888,914","891,000","868,800",2.69K,-0.91%
2019年11月18日,"601,458","925,304","925,480","888,088",2.52K,-3.93%
2019年11月17日,"627,765","923,400","937,315","913,270",1.96K,0.21%
2019年11月16日,"640,362","921,482","928,343","918,000",1.24K,0.21%
2019年11月15日,"632,870","936,240","951,999","913,332",4.01K,-1.58%
2019年11月14日,"629,700","953,321","956,063","931,001",2.76K,-1.79%
2019年11月13日,"635,000","960,000","961,706","947,326",2.77K,-0.70%
2019年11月12日,"653,899","950,719","967,000","936,276",3.33K,0.98%
2019年11月11日,"674,664","986,500","988,850","938,349",3.32K,-3.63%
2019年11月10日,"698,820","962,771","994,598","956,465",2.43K,2.46%
2019年11月9日,"798,000","957,397","970,000","954,400",1.96K,0.56%
2019年11月8日,"766,297","1,006,445","1,008,180","949,004",5.26K,-4.85%
2019年11月7日,"855,542","1,015,778","1,018,020","993,000",2.98K,-0.96%
2019年11月6日,"877,000","1,015,450","1,027,350","1,008,000",2.89K,0.05%
2019年11月5日,"897,006","1,021,915","1,029,200","998,980",5.41K,-0.63%
2019年11月4日,"867,106","996,034","1,032,716","987,909",4.05K,2.60%
2019年11月3日,"811,041","1,006,460","1,014,500","982,410",2.39K,-1.04%
2019年11月2日,"801,006","999,769","1,013,499","996,083",2.80K,0.67%
2019年11月1日,"899,774","988,920","1,004,000","978,505",5.65K,1.10%
2019年10月31日,"878,650","997,247","1,017,000","969,000",7.32K,-0.83%
2019年10月30日,"879,734","1,025,514","1,025,514","980,689",7.03K,-2.76%
2019年10月29日,"844,000","1,004,000","1,038,070","989,800",8.11K,2.15%
2019年10月28日,"863,494","1,037,500","1,074,155","1,002,218",11.14K,-3.24%
2019年10月27日,"874,415","1,002,159","1,057,994","986,620",13.39K,3.53%
2019年10月26日,"883,875","940,000","1,123,999","938,840",23.35K,6.61%
2019年10月25日,"953,475","807,500","949,998","804,350",11.04K,16.44%
2019年10月24日,"960,100","812,765","815,114","800,200",3.80K,-0.62%
2019年10月23日,"952,867","870,050","872,510","797,091",7.91K,-6.64%
2019年10月22日,"948,273","891,947","900,900","867,474",2.60K,-2.45%
2019年10月21日,"907,386","891,400","903,544","884,500",2.99K,0.06%
2019年10月20日,"928,180","863,000","898,643","854,060",3.65K,3.29%
2019年10月19日,"925,022","862,890","877,100","856,268",2.55K,0.01%
2019年10月18日,"946,500","877,000","881,498","852,227",3.28K,-1.61%
2019年10月17日,"879,237","869,340","881,660","863,211",2.78K,0.88%
2019年10月16日,"831,424","887,464","889,966","861,043",3.92K,-2.04%
2019年10月15日,"844,971","905,500","910,995","885,120",2.75K,-1.99%
2019年10月14日,"846,012","899,998","910,000","890,619",1.98K,0.61%
2019年10月13日,"867,670","901,833","918,000","886,795",1.75K,-0.20%
2019年10月12日,"860,954","897,348","911,501","896,521",1.26K,0.41%
2019年10月11日,"833,600","926,444","948,380","893,456",4.04K,-3.05%
2019年10月10日,"870,015","919,414","929,866","910,626",2.67K,0.76%
2019年10月9日,"860,725","874,804","932,170","869,120",4.73K,5.10%
2019年10月8日,"886,889","880,798","894,814","868,201",2.32K,-0.51%
2019年10月7日,"893,750","841,354","892,000","830,505",3.90K,4.51%
2019年10月6日,"944,847","873,970","874,895","835,000",3.12K,-3.58%
2019年10月5日,"959,450","873,171","877,475","860,063",1.50K,-0.07%
2019年10月4日,"977,299","881,977","882,000","856,768",2.79K,-1.00%
2019年10月3日,"1,013,696","899,088","902,742","865,000",3.02K,-1.90%
2019年10月2日,"986,025","896,313","899,988","879,845",2.74K,0.27%
2019年10月1日,"1,002,024","898,291","921,254","886,600",4.60K,-0.06%
2019年9月30日,"1,023,420","869,799","902,449","834,738",6.20K,3.16%
2019年9月29日,"1,095,000","887,254","890,442","855,707",2.70K,-1.97%
2019年9月28日,"1,145,500","886,900","900,000","867,310",2.85K,0.04%
2019年9月27日,"1,163,505","869,765","894,044","850,559",5.08K,1.99%
2019年9月26日,"1,180,700","910,274","912,552","834,893",8.04K,-4.50%
2019年9月25日,"1,262,333","917,998","938,509","884,520",9.18K,-0.86%
2019年9月24日,"1,399,251","1,044,001","1,054,990","864,000",12.18K,-12.00%
2019年9月23日,"1,221,271","1,081,500","1,083,314","1,035,100",3.43K,-3.49%
2019年9月22日,"1,342,710","1,074,712","1,085,520","1,060,000",2.22K,0.69%
